customer_id,transaction_count,spending_ratio,join_date,age,gender,education_level,employment_type,annual_income,loan_amount,credit_score,default_flag,repayment_history,inflation_rate,interest_rate,year,month,day,weekday,region_North,region_South,region_West,loan_purpose_Education Loan,loan_purpose_Home Loan,loan_purpose_Personal Loan,income_group,high_income_flag,income_quantile,income_kmeans,join_year,debt_to_income,avg_monthly_transactions,spending_to_income
1,348,0.246,2019-01-23,54.0,0,1,Self-Employed,158466.0,95213.0,596.0,0,Good,4.308858071680285,10.079461641692053,2019,1,23,2,False,True,False,False,False,True,High,1,Q4,1,2019,0.6008418209584391,29.0,38982.636
2,218,0.877,2019-06-15,21.0,0,2,Self-Employed,139129.0,67720.0,306.0,1,Average,4.735687398771708,10.034367657754018,2019,6,15,5,False,False,True,False,False,True,High,1,Q3,0,2019,0.4867425195322327,18.166666666666668,122016.133
3,416,0.187,2019-01-14,21.0,1,3,Self-Employed,26663.0,40113.0,373.0,1,Average,7.57669360299483,9.180392526842612,2019,1,14,0,False,True,False,False,False,True,Low,0,Q1,2,2019,1.5044443610996512,34.666666666666664,4985.981
4,247,0.153,2023-05-09,42.0,0,4,Unemployed,155955.0,94946.0,699.0,1,Poor,6.386952800159565,8.390403606125172,2023,5,9,1,False,False,False,False,True,False,High,1,Q4,1,2023,0.6088038216152095,20.583333333333332,23861.114999999998
5,306,0.11,2020-03-10,41.0,0,3,Self-Employed,59359.0,16431.0,857.0,1,Good,6.69759181947231,11.000303407651717,2020,3,10,1,False,True,False,False,False,False,Medium,0,Q1,2,2020,0.27680722384137196,25.5,6529.49
6,155,0.831,2022-09-24,51.0,1,2,Salaried,50039.0,42386.0,478.0,0,Good,6.833290539623324,10.412514889066921,2022,9,24,5,False,False,False,False,True,False,Medium,0,Q1,2,2022,0.8470592937508743,12.916666666666666,41582.409
7,461,0.817,2018-12-02,58.0,1,1,Salaried,156535.0,5541.0,864.0,1,Good,6.691720044196126,9.020912346711324,2018,12,2,6,False,True,False,False,True,False,High,1,Q4,1,2018,0.03539783435014533,38.416666666666664,127889.09499999999
8,380,0.48,2022-03-10,30.0,0,1,Self-Employed,38345.0,33957.0,416.0,1,Average,7.8301900827291515,10.634343996745773,2022,3,10,3,False,False,False,False,True,False,Low,0,Q1,2,2022,0.8855652627461208,31.666666666666668,18405.6
9,293,0.414,2019-09-12,55.0,0,3,Salaried,22686.0,28126.0,769.0,0,Average,5.538320389025688,10.133294000974276,2019,9,12,3,True,False,False,False,True,False,Low,0,Q1,2,2019,1.2397954685709247,24.416666666666668,9392.003999999999
10,70,0.141,2019-04-15,34.0,1,1,Unemployed,105616.0,19359.0,342.0,0,Good,5.1732102279342165,11.777888880995013,2019,4,15,0,False,False,False,False,False,True,High,1,Q2,0,2019,0.18329609150128767,5.833333333333333,14891.855999999998
11,167,0.525,2018-08-16,21.0,1,3,Salaried,36144.0,90504.0,735.0,1,Poor,7.508887300389025,11.414114841007674,2018,8,16,3,True,False,False,False,False,False,Low,0,Q1,2,2018,2.50398406374502,13.916666666666666,18975.600000000002
12,10,0.659,2018-10-01,64.0,0,1,Self-Employed,55738.0,34053.0,897.0,0,Poor,5.384254694835503,11.499994977154744,2018,10,1,0,False,True,False,False,False,False,Medium,0,Q1,2,2018,0.6109476479242169,0.8333333333333334,36731.342000000004
13,54,0.253,2023-04-22,57.0,1,3,Self-Employed,24264.0,97300.0,650.0,1,Poor,5.973421371276464,9.701551808444492,2023,4,22,5,False,False,False,True,False,False,Low,0,Q1,2,2023,4.010056050115398,4.5,6138.792
14,245,0.122,2022-03-19,52.0,0,2,Self-Employed,190278.0,69049.0,570.0,0,Good,4.9920347047289315,7.168845317649334,2022,3,19,5,False,False,True,False,False,True,High,1,Q4,1,2022,0.36288483166734986,20.416666666666668,23213.916
15,219,0.229,2023-02-14,32.0,1,1,Unemployed,170020.0,47004.0,567.0,0,Average,7.371470235131065,7.967756160200428,2023,2,14,1,False,False,False,False,False,True,High,1,Q4,1,2023,0.2764615927537937,18.25,38934.58
16,496,0.942,2020-10-10,40.0,1,1,Unemployed,101791.0,85823.0,685.0,1,Poor,5.509070618570414,11.627417323399794,2020,10,10,5,True,False,False,True,False,False,High,1,Q2,0,2020,0.8431295497637316,41.333333333333336,95887.12199999999
17,421,0.301,2021-07-08,61.0,0,3,Self-Employed,158246.0,15874.0,723.0,1,Good,6.5489849128157225,6.026682952683838,2021,7,8,3,False,False,True,False,True,False,High,1,Q4,1,2021,0.10031217218760664,35.083333333333336,47632.045999999995
18,229,0.958,2021-03-04,57.0,0,4,Salaried,102578.0,68726.0,679.0,1,Poor,4.025635582927549,7.91540112569288,2021,3,4,3,False,False,False,True,False,False,High,1,Q2,0,2021,0.6699877166643919,19.083333333333332,98269.724
19,272,0.012,2020-01-23,32.0,0,4,Self-Employed,91713.0,82649.0,716.0,1,Average,4.05659186825158,9.841254065250405,2020,1,23,3,False,True,False,True,False,False,Medium,0,Q2,0,2020,0.9011699540959297,22.666666666666668,1100.556
20,57,0.945,2022-12-08,22.0,0,3,Unemployed,49513.0,97837.0,359.0,0,Average,6.32742878954657,10.813147751623525,2022,12,8,3,True,False,False,True,False,False,Low,0,Q1,2,2022,1.9759861046593823,4.75,46789.784999999996
21,408,0.55,2018-12-26,48.0,1,4,Unemployed,49812.0,65287.0,306.0,0,Good,4.7695657107715945,9.85237521157365,2018,12,26,2,False,False,True,True,False,False,Low,0,Q1,2,2018,1.3106681121015016,34.0,27396.600000000002
22,310,0.192,2018-04-15,36.0,0,3,Self-Employed,88028.0,44009.0,552.0,0,Good,5.212493404090571,10.489044940740932,2018,4,15,6,False,True,False,False,False,True,Medium,0,Q2,0,2018,0.49994319989094377,25.833333333333332,16901.376
23,418,0.654,2022-03-16,27.0,0,1,Unemployed,69697.0,53795.0,808.0,0,Good,5.980580267624311,8.382514454059491,2022,3,16,2,True,False,False,True,False,False,Medium,0,Q2,2,2022,0.7718409687647962,34.833333333333336,45581.838
24,81,0.456,2022-07-20,27.0,1,3,Unemployed,127637.0,50713.0,856.0,0,Good,6.809959525964979,10.590334016891115,2022,7,20,2,False,True,False,True,False,False,High,1,Q3,0,2022,0.39732209312346733,6.75,58202.472
25,417,0.749,2018-03-28,62.0,0,2,Salaried,46082.0,27041.0,837.0,0,Good,4.542726955170345,11.128717175349859,2018,3,28,2,False,True,False,True,False,False,Low,0,Q1,2,2018,0.5868017881168353,34.75,34515.418
26,224,0.903,2020-11-04,27.0,1,1,Salaried,108554.0,85093.0,308.0,1,Average,6.371992469304935,9.065970831377063,2020,11,4,2,False,True,False,False,False,True,High,1,Q2,0,2020,0.7838771487001861,18.666666666666668,98024.262
27,92,0.276,2021-11-15,46.0,0,4,Salaried,93478.0,51102.0,411.0,0,Average,6.1557647657301295,11.799314297858679,2021,11,15,0,True,False,False,False,False,True,Medium,0,Q2,0,2021,0.5466740837416291,7.666666666666667,25799.928000000004
28,257,0.298,2020-07-20,59.0,0,1,Self-Employed,90367.0,31686.0,474.0,1,Average,6.498649627174969,10.698662209076957,2020,7,20,0,False,False,False,False,True,False,Medium,0,Q2,0,2020,0.3506368475217723,21.416666666666668,26929.365999999998
