customer_id,transaction_count,spending_ratio,join_date
1,348,0.246,2019-01-23
2,218,0.877,2019-06-15
3,416,0.187,2019-01-14
4,247,0.153,2023-05-09
5,306,0.11,2020-03-10
6,155,0.831,2022-09-24
7,461,0.817,2018-12-02
8,380,0.48,2022-03-10
9,293,0.414,2019-09-12
10,70,0.141,2019-04-15
11,167,0.525,2018-08-16
12,10,0.659,2018-10-01
13,54,0.253,2023-04-22
14,245,0.122,2022-03-19
15,219,0.229,2023-02-14
16,496,0.942,2020-10-10
17,421,0.301,2021-07-08
18,229,0.958,2021-03-04
19,272,0.012,2020-01-23
20,57,0.945,2022-12-08
21,408,0.55,2018-12-26
22,310,0.192,2018-04-15
23,418,0.654,2022-03-16
24,81,0.456,2022-07-20
25,417,0.749,2018-03-28
26,224,0.903,2020-11-04
27,92,0.276,2021-11-15
28,257,0.298,2020-07-20
29,353,0.302,2020-08-25
30,469,0.623,2022-09-18
31,60,0.685,2019-05-21
32,191,0.046,2019-10-26
33,42,0.214,2019-12-06
34,132,0.413,2022-09-20
35,76,0.655,2020-07-28
36,391,0.513,2019-08-24
37,336,0.501,2020-05-03
38,324,0.881,2018-02-08
39,369,0.536,2023-06-21
40,358,0.335,2021-10-04
41,367,0.281,2020-12-25
42,109,0.184,2019-07-27
43,297,0.687,2023-05-19
44,31,0.385,2018-01-04
45,404,0.594,2023-01-27
46,54,0.583,2018-07-14
47,52,0.453,2022-03-28
48,375,0.773,2018-09-16
49,408,0.625,2021-09-26
50,153,0.136,2019-07-03
51,314,0.429,2019-03-03
52,360,0.321,2023-05-15
53,107,0.199,2018-04-21
54,24,0.902,2019-09-26
55,58,0.052,2022-12-13
56,347,0.968,2018-10-11
57,466,0.457,2020-02-27
58,246,0.275,2018-02-09
59,272,0.239,2023-01-23
60,472,0.859,2018-03-22
61,370,0.479,2022-02-06
62,108,0.511,2021-12-10
63,50,0.903,2021-01-10
64,15,0.021,2020-02-16
65,86,0.759,2022-05-19
66,254,0.972,2018-04-04
67,270,0.127,2020-09-08
68,482,0.57,2018-01-14
69,351,0.381,2021-12-20
70,412,0.787,2021-06-19
71,301,0.149,2020-07-04
72,401,0.257,2020-03-16
73,211,0.297,2019-05-15
74,120,0.135,2020-09-08
75,38,0.641,2020-01-16
76,101,0.994,2020-04-02
77,112,0.499,2020-04-30
78,30,0.976,2019-07-02
79,216,0.337,2021-04-13
80,294,0.323,2022-08-25
81,311,0.184,2019-09-11
82,249,0.545,2022-12-22
83,86,0.02,2023-03-16
84,31,0.145,2020-09-02
85,247,0.629,2023-05-06
86,171,0.687,2020-10-26
87,407,0.576,2019-09-07
88,499,0.015,2022-09-11
89,258,0.471,2020-10-03
90,396,0.756,2020-04-10
91,37,0.754,2018-08-10
92,213,0.453,2019-05-27
93,213,0.055,2018-08-06
94,72,0.324,2023-03-05
95,164,0.247,2023-02-10
96,471,0.811,2018-03-26
97,253,0.238,2022-11-18
98,381,0.207,2018-07-23
99,12,0.17,2020-06-13
100,169,0.302,2022-10-19
101,153,0.969,2020-03-02
102,419,0.168,2023-04-18
103,490,0.546,2018-10-02
104,465,0.403,2020-07-06
105,117,0.455,2018-08-22
106,369,0.802,2018-05-16
107,402,0.666,2023-03-29
108,17,0.263,2021-07-16
109,202,0.017,2018-11-22
110,230,0.297,2018-09-28
111,362,0.634,2018-05-26
112,441,0.297,2018-08-20
113,117,0.713,2018-10-27
114,373,0.384,2021-03-01
115,325,0.268,2019-07-19
116,253,0.991,2021-07-12
117,176,0.17,2021-07-20
118,479,0.956,2019-12-28
119,118,0.927,2018-08-16
120,107,0.989,2020-07-04
121,31,0.971,2021-01-01
122,208,0.759,2020-12-28
123,341,0.642,2022-08-17
124,397,0.623,2019-04-09
125,166,0.714,2019-02-22
126,156,0.368,2019-08-05
127,491,0.822,2022-05-03
128,425,0.639,2020-11-13
129,21,0.553,2018-03-29
130,489,0.272,2020-03-03
131,117,0.895,2021-07-28
132,268,0.323,2021-01-16
133,472,0.181,2018-03-23
134,61,0.559,2019-11-18
135,310,0.548,2021-01-19
136,371,0.266,2022-01-16
137,407,0.058,2023-03-25
138,324,0.105,2022-07-31
139,24,0.03,2018-03-08
140,416,0.935,2018-12-04
141,76,0.749,2019-04-20
142,465,0.604,2018-07-26
143,481,0.178,2020-08-19
144,168,0.27,2018-08-16
